"Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood"
"S00035,17,Other,Undergraduate,Web Development,83,4,46,11,44,High,88,Auditory,2,No"
"S00036,21,Male,High School,Python Basics,77,2,35,29,64,High,67,Reading/Writing,5,Yes"
"S00037,16,Female,High School,Python Basics,435,2,46,7,67,Low,95,Auditory,3,Yes"
"S00038,37,Female,High School,Python Basics,258,1,35,15,90,High,31,Kinesthetic,1,Yes"
"S00039,46,Female,Undergraduate,Web Development,227,3,52,3,88,Medium,52,Visual,2,No"
"S00040,47,Female,High School,Machine Learning,309,1,36,35,53,Medium,96,Visual,2,Yes"
"S00041,38,Female,Undergraduate,Web Development,138,3,72,5,87,Medium,87,Auditory,2,No"
"S00042,20,Female,Undergraduate,Web Development,66,2,53,19,79,High,68,Auditory,4,No"
"S00043,48,Male,Undergraduate,Data Science,314,3,77,3,53,High,69,Reading/Writing,3,No"
"S00044,28,Female,Postgraduate,Web Development,405,4,68,1,87,Medium,53,Reading/Writing,1,No"
"S00045,33,Female,Undergraduate,Cybersecurity,214,3,31,36,99,Low,64,Visual,4,Yes"
"S00046,38,Other,High School,Cybersecurity,350,1,79,41,67,High,96,Auditory,4,Yes"
"S00047,31,Male,High School,Machine Learning,143,1,70,0,93,Medium,86,Kinesthetic,5,No"
"S00048,47,Female,Postgraduate,Web Development,122,3,43,0,75,Medium,77,Auditory,5,No"
"S00049,18,Male,High School,Cybersecurity,10,1,91,19,50,Low,53,Visual,2,No"
"S00050,43,Male,High School,Data Science,246,4,73,30,86,Medium,95,Visual,3,No"
"S00051,45,Male,High School,Web Development,63,3,46,40,64,Low,77,Visual,1,Yes"
"S00052,34,Other,Undergraduate,Machine Learning,460,4,36,40,61,Medium,65,Visual,5,Yes"
"S00053,25,Male,Undergraduate,Python Basics,116,2,93,1,51,Low,66,Reading/Writing,1,No"
"S00054,46,Male,Undergraduate,Web Development,360,4,73,14,98,High,36,Kinesthetic,3,No"
"S00055,19,Male,High School,Data Science,353,3,94,0,99,High,32,Visual,1,No"
"S00056,42,Male,Postgraduate,Machine Learning,471,2,68,21,97,Medium,40,Visual,5,No"
"S00057,39,Male,Undergraduate,Web Development,391,1,92,20,42,Medium,58,Visual,4,No"
"S00058,32,Female,Undergraduate,Web Development,412,4,74,14,64,Medium,96,Kinesthetic,5,Yes"
"S00059,17,Female,Undergraduate,Data Science,212,4,65,18,40,Low,39,Reading/Writing,5,No"
"S00060,44,Female,High School,Data Science,147,2,34,3,48,Medium,76,Visual,4,No"
"S00061,42,Male,High School,Cybersecurity,388,2,62,21,65,Medium,98,Kinesthetic,5,No"
"S00062,26,Male,Postgraduate,Python Basics,316,1,32,19,62,Low,58,Kinesthetic,1,No"
"S00063,21,Female,Postgraduate,Web Development,415,1,94,39,91,High,34,Kinesthetic,2,No"
"S00064,20,Male,Undergraduate,Machine Learning,350,1,58,9,53,High,74,Visual,4,No"
"S00065,17,Female,Undergraduate,Data Science,279,2,40,13,70,High,53,Reading/Writing,2,No"
"S00066,49,Female,Undergraduate,Cybersecurity,376,1,84,46,70,Medium,37,Reading/Writing,4,No"
"S00067,16,Female,Postgraduate,Web Development,356,1,86,27,81,High,74,Kinesthetic,3,No"
"S00068,17,Female,Undergraduate,Machine Learning,133,1,57,19,74,Low,52,Visual,1,No"
"S00069,44,Male,Postgraduate,Cybersecurity,131,2,48,48,53,High,41,Reading/Writing,2,No"
"S00070,32,Female,Undergraduate,Python Basics,458,2,57,19,67,Medium,98,Auditory,1,No"
"S00071,20,Female,Undergraduate,Web Development,207,4,87,7,79,Medium,54,Reading/Writing,4,No"
"S00072,23,Female,Postgraduate,Data Science,136,4,61,41,55,Low,89,Reading/Writing,5,No"
"S00073,20,Male,Undergraduate,Python Basics,449,4,34,4,69,Low,38,Auditory,4,Yes"
"S00074,42,Female,Postgraduate,Web Development,433,2,31,19,41,Medium,49,Visual,4,Yes"
"S00075,44,Male,High School,Data Science,122,4,43,22,81,Low,98,Auditory,4,No"
"S00076,27,Female,High School,Cybersecurity,79,3,52,41,80,High,97,Auditory,5,Yes"
"S00077,37,Male,Undergraduate,Machine Learning,457,1,36,44,86,Medium,55,Visual,5,No"
"S00078,43,Female,Postgraduate,Machine Learning,200,1,41,9,47,Medium,69,Visual,1,No"
"S00079,31,Male,Undergraduate,Cybersecurity,472,4,46,48,56,Low,32,Kinesthetic,3,Yes"
"S00080,38,Female,Undergraduate,Data Science,490,4,35,22,46,Medium,81,Reading/Writing,3,No"
"S00081,17,Male,Postgraduate,Data Science,51,1,50,2,96,Low,83,Reading/Writing,5,No"
"S00082,23,Male,Postgraduate,Python Basics,480,1,95,33,93,Medium,76,Kinesthetic,4,Yes"
"S00083,33,Male,Undergraduate,Machine Learning,117,1,85,1,51,Medium,38,Reading/Writing,2,No"
"S00084,41,Female,Undergraduate,Python Basics,173,4,51,9,75,Low,97,Kinesthetic,4,No"
"S00085,15,Female,Undergraduate,Machine Learning,157,3,73,39,62,Medium,65,Kinesthetic,3,No"
"S00086,43,Female,Postgraduate,Machine Learning,214,3,84,35,92,Medium,51,Visual,3,No"
"S00087,38,Female,Undergraduate,Python Basics,371,2,45,19,77,Medium,98,Kinesthetic,2,No"
"S00088,43,Male,Undergraduate,Data Science,443,1,75,1,80,Low,86,Visual,3,No"
"S00089,39,Male,Undergraduate,Machine Learning,113,4,75,47,69,Medium,96,Visual,3,Yes"
"S00090,20,Female,Undergraduate,Python Basics,198,4,67,46,50,Medium,89,Reading/Writing,2,Yes"
"S00091,22,Male,Postgraduate,Cybersecurity,139,1,56,12,89,Medium,59,Kinesthetic,2,No"
"S00092,22,Male,Undergraduate,Data Science,284,4,36,16,82,High,61,Reading/Writing,4,No"
"S00093,20,Male,Undergraduate,Machine Learning,307,1,65,19,49,Medium,57,Visual,4,No"
"S00094,21,Female,High School,Data Science,299,1,84,3,85,Low,62,Auditory,3,Yes"
"S00095,45,Male,High School,Python Basics,115,1,87,46,80,Medium,93,Auditory,4,No"
"S00096,38,Male,High School,Web Development,116,1,85,13,57,Medium,62,Reading/Writing,2,Yes"
"S00097,22,Male,Undergraduate,Python Basics,404,3,47,16,68,High,81,Auditory,3,Yes"
"S00098,46,Female,Undergraduate,Web Development,174,3,63,1,75,Medium,50,Visual,3,No"
"S00099,33,Female,Undergraduate,Python Basics,17,3,96,5,75,Medium,48,Reading/Writing,4,No"
"S00100,46,Female,Undergraduate,Data Science,232,1,86,25,44,High,79,Kinesthetic,5,No"
"S00101,20,Male,Postgraduate,Web Development,164,4,31,19,54,Medium,67,Kinesthetic,1,No"
"S00102,40,Male,High School,Python Basics,113,2,36,28,98,High,68,Visual,4,Yes"
"S00103,25,Female,Undergraduate,Web Development,10,3,87,5,84,High,85,Auditory,5,No"
"S00104,28,Female,Undergraduate,Web Development,282,4,82,43,82,Low,78,Visual,1,No"
"S00105,36,Female,Undergraduate,Python Basics,261,3,76,11,88,Medium,37,Reading/Writing,2,No"
"S00106,33,Female,Undergraduate,Web Development,38,4,53,17,58,High,35,Reading/Writing,4,No"
"S00107,22,Male,Undergraduate,Cybersecurity,130,4,88,20,96,Medium,89,Kinesthetic,1,No"
"S00108,46,Male,Undergraduate,Data Science,42,1,74,11,92,Medium,89,Kinesthetic,4,No"
"S00109,27,Male,High School,Cybersecurity,213,1,57,8,58,Medium,95,Visual,4,No"
"S00110,33,Male,Undergraduate,Data Science,322,4,40,7,67,Medium,35,Kinesthetic,1,Yes"
"S00111,18,Female,Undergraduate,Data Science,418,3,68,9,90,Medium,48,Auditory,2,Yes"
"S00112,31,Male,High School,Machine Learning,320,1,34,2,88,High,88,Kinesthetic,5,No"
"S00113,38,Female,Postgraduate,Cybersecurity,414,2,43,15,65,Low,95,Reading/Writing,5,Yes"
"S00114,15,Female,Postgraduate,Machine Learning,266,4,57,32,88,High,64,Visual,3,No"
"S00115,18,Male,Undergraduate,Machine Learning,439,1,79,17,98,Low,81,Kinesthetic,1,Yes"
"S00116,47,Male,Undergraduate,Machine Learning,332,1,38,47,74,High,72,Reading/Writing,5,Yes"
"S00117,41,Male,High School,Web Development,294,1,41,1,82,High,52,Auditory,3,Yes"
"S00118,49,Female,Undergraduate,Web Development,77,2,60,9,73,High,75,Auditory,1,No"
"S00119,44,Female,High School,Cybersecurity,347,3,86,9,94,Low,62,Auditory,3,No"
"S00120,49,Female,Undergraduate,Web Development,44,3,47,48,77,Medium,97,Auditory,4,No"
"S00121,17,Male,Undergraduate,Data Science,313,2,33,11,41,Medium,93,Auditory,4,Yes"
"S00122,16,Female,Undergraduate,Web Development,342,2,54,37,93,High,66,Visual,2,Yes"
"S00123,32,Female,Undergraduate,Python Basics,139,3,82,10,80,Low,37,Visual,1,Yes"
"S00124,15,Male,High School,Data Science,433,4,59,13,54,Low,56,Auditory,5,No"
"S00125,42,Male,Undergraduate,Data Science,483,1,38,24,92,High,79,Auditory,3,Yes"
"S00126,24,Male,Postgraduate,Python Basics,492,3,96,34,60,Low,39,Visual,5,No"
"S00127,35,Female,High School,Cybersecurity,230,3,48,9,56,Medium,83,Visual,3,No"
"S00128,17,Female,Postgraduate,Python Basics,323,3,98,10,42,Low,52,Kinesthetic,3,Yes"
"S00129,15,Female,Postgraduate,Cybersecurity,167,4,78,43,55,High,38,Kinesthetic,1,No"
"S00130,34,Male,Undergraduate,Cybersecurity,443,2,63,5,89,Medium,86,Visual,2,No"
"S00131,18,Female,High School,Data Science,410,3,37,19,95,Medium,94,Reading/Writing,2,No"
"S00132,40,Male,Undergraduate,Data Science,435,1,38,39,59,Medium,96,Visual,1,No"
"S00133,16,Male,Postgraduate,Machine Learning,340,4,89,23,47,Low,91,Reading/Writing,3,No"
"S00134,17,Female,Postgraduate,Machine Learning,105,2,54,35,73,Medium,38,Visual,1,No"
"S00135,28,Male,Undergraduate,Python Basics,122,2,52,36,53,Medium,40,Visual,5,No"
"S00136,47,Female,Postgraduate,Web Development,289,4,68,21,90,Medium,70,Kinesthetic,1,No"
"S00137,35,Female,Undergraduate,Machine Learning,457,3,81,38,83,Medium,81,Visual,3,No"
"S00138,48,Male,Undergraduate,Web Development,146,2,82,17,59,High,38,Reading/Writing,3,No"
"S00139,27,Female,Undergraduate,Machine Learning,445,3,45,44,87,Medium,70,Kinesthetic,5,No"
"S00140,49,Female,Undergraduate,Cybersecurity,442,1,97,13,93,Medium,59,Kinesthetic,5,No"
"S00141,24,Female,Undergraduate,Machine Learning,170,4,30,33,70,Medium,47,Auditory,5,No"
"S00142,44,Female,High School,Cybersecurity,259,2,72,9,44,High,86,Reading/Writing,3,No"
"S00143,22,Female,Undergraduate,Cybersecurity,294,1,76,16,53,High,55,Kinesthetic,4,No"
"S00144,22,Female,Undergraduate,Python Basics,136,2,88,20,77,Medium,92,Auditory,1,No"
"S00145,32,Female,High School,Machine Learning,458,3,53,17,57,Medium,53,Auditory,2,No"
"S00146,23,Male,Postgraduate,Data Science,194,4,82,10,57,Medium,66,Auditory,5,Yes"
"S00147,30,Male,Postgraduate,Data Science,414,2,98,39,97,Low,87,Visual,2,No"
"S00148,35,Female,High School,Python Basics,356,2,78,44,84,High,43,Auditory,2,No"
"S00149,25,Female,Undergraduate,Data Science,472,2,32,9,79,Medium,95,Reading/Writing,1,No"
"S00150,26,Male,Undergraduate,Machine Learning,420,2,99,4,77,Medium,87,Visual,3,Yes"
"S00151,26,Male,Undergraduate,Machine Learning,386,3,68,20,86,High,38,Auditory,5,No"
"S00152,40,Male,High School,Data Science,96,1,85,26,47,Medium,50,Reading/Writing,2,Yes"
"S00153,45,Female,Undergraduate,Data Science,79,1,41,32,44,Medium,73,Auditory,5,No"
"S00154,38,Female,Undergraduate,Data Science,145,4,98,18,90,High,85,Auditory,3,No"
"S00155,46,Male,Postgraduate,Data Science,411,2,65,39,61,High,80,Kinesthetic,1,No"
"S00156,28,Male,Undergraduate,Cybersecurity,86,2,92,2,88,High,63,Auditory,4,Yes"
"S00157,18,Female,High School,Machine Learning,53,3,39,11,58,High,42,Visual,2,No"
"S00158,38,Other,Postgraduate,Web Development,426,4,62,20,44,High,92,Visual,1,No"
"S00159,26,Male,High School,Web Development,425,3,55,44,52,Medium,97,Kinesthetic,2,No"
"S00160,25,Female,Undergraduate,Data Science,112,2,87,4,86,Low,40,Reading/Writing,5,No"
"S00161,25,Female,Undergraduate,Python Basics,231,1,64,18,87,Low,84,Auditory,5,No"
"S00162,35,Male,Undergraduate,Web Development,183,3,89,15,91,Low,95,Auditory,2,No"
"S00163,26,Male,Undergraduate,Machine Learning,245,4,71,0,74,High,94,Kinesthetic,4,No"
"S00164,44,Female,High School,Cybersecurity,142,1,86,28,94,Medium,79,Reading/Writing,5,No"
"S00165,18,Male,Postgraduate,Web Development,319,2,37,21,53,Medium,43,Visual,1,No"
"S00166,22,Other,Undergraduate,Cybersecurity,183,2,74,38,89,Medium,32,Auditory,1,No"
"S00167,26,Female,Postgraduate,Cybersecurity,393,3,70,16,46,Low,91,Kinesthetic,2,Yes"
"S00168,29,Male,High School,Cybersecurity,454,4,31,49,75,Medium,62,Visual,5,No"
"S00169,15,Female,Undergraduate,Web Development,406,3,53,46,55,Medium,85,Kinesthetic,4,Yes"
"S00170,29,Female,Undergraduate,Web Development,425,4,56,12,67,Low,92,Reading/Writing,1,No"
"S00171,16,Female,Undergraduate,Data Science,326,4,78,9,59,Medium,60,Kinesthetic,1,No"
"S00172,22,Female,Undergraduate,Cybersecurity,408,4,48,25,49,Low,48,Kinesthetic,4,No"
"S00173,18,Male,Undergraduate,Cybersecurity,499,3,71,33,76,High,33,Kinesthetic,1,Yes"
"S00174,27,Male,High School,Python Basics,276,2,83,38,96,Medium,89,Auditory,1,No"
"S00175,32,Female,Postgraduate,Python Basics,469,3,86,20,89,Medium,90,Kinesthetic,2,Yes"
"S00176,31,Female,Undergraduate,Machine Learning,59,3,43,9,62,High,50,Auditory,3,Yes"
"S00177,29,Male,Undergraduate,Python Basics,76,2,99,45,77,Medium,90,Kinesthetic,2,No"
"S00178,24,Female,High School,Cybersecurity,127,4,46,8,91,Medium,72,Kinesthetic,4,No"
"S00179,43,Female,Undergraduate,Cybersecurity,333,1,96,23,55,High,74,Kinesthetic,2,No"
"S00180,28,Male,Undergraduate,Python Basics,216,4,75,23,40,Medium,71,Auditory,1,No"
"S00181,33,Male,Undergraduate,Machine Learning,234,4,55,30,61,Medium,80,Reading/Writing,4,No"
"S00182,39,Female,Undergraduate,Machine Learning,459,3,78,31,43,Low,73,Auditory,5,No"
"S00183,48,Female,Undergraduate,Web Development,399,3,34,33,99,Low,33,Visual,4,No"
"S00184,36,Male,Undergraduate,Cybersecurity,73,2,75,27,79,Medium,96,Kinesthetic,5,No"
"S00185,30,Male,Undergraduate,Machine Learning,147,1,52,23,84,Medium,53,Auditory,2,No"
"S00186,47,Male,High School,Web Development,152,3,77,6,81,Medium,78,Visual,2,No"
"S00187,28,Female,High School,Web Development,184,4,72,13,95,Low,83,Kinesthetic,5,No"
"S00188,44,Male,High School,Machine Learning,63,3,57,46,92,Low,42,Visual,2,No"
"S00189,22,Other,Undergraduate,Data Science,345,4,82,19,68,High,45,Visual,4,No"
"S00190,20,Female,Undergraduate,Machine Learning,447,3,69,32,52,Medium,47,Auditory,5,No"
"S00191,33,Male,Undergraduate,Machine Learning,357,4,49,27,57,Medium,87,Auditory,1,No"
"S00192,49,Male,Undergraduate,Python Basics,29,3,78,20,67,Low,60,Visual,5,No"
"S00193,20,Other,Undergraduate,Web Development,110,1,38,38,50,Medium,91,Reading/Writing,4,No"
"S00194,45,Male,Postgraduate,Machine Learning,303,4,58,32,64,High,89,Reading/Writing,1,No"
"S00195,15,Female,Undergraduate,Python Basics,214,2,36,7,48,Low,46,Auditory,2,Yes"
"S00196,21,Female,Postgraduate,Data Science,335,2,87,48,99,Low,96,Kinesthetic,5,No"
"S00197,45,Female,High School,Python Basics,412,2,41,35,76,Medium,62,Visual,1,No"
"S00198,48,Male,Undergraduate,Web Development,70,2,84,17,42,Medium,54,Kinesthetic,5,No"
"S00199,39,Female,Postgraduate,Cybersecurity,491,1,54,30,95,High,90,Visual,2,No"
"S00200,25,Male,Postgraduate,Cybersecurity,470,3,94,25,53,Medium,66,Visual,4,Yes"
"S00201,15,Female,Undergraduate,Cybersecurity,347,3,45,47,58,High,84,Visual,5,No"
"S00202,36,Male,Undergraduate,Python Basics,417,2,41,31,81,Low,98,Auditory,2,No"
"S00203,20,Male,High School,Web Development,317,4,75,30,89,High,30,Visual,4,No"
"S00204,16,Male,High School,Data Science,28,1,38,29,67,Medium,33,Kinesthetic,3,No"
"S00205,28,Female,Undergraduate,Cybersecurity,408,4,37,29,71,Medium,42,Kinesthetic,2,Yes"
"S00206,29,Male,Postgraduate,Data Science,433,1,94,17,83,High,65,Kinesthetic,1,No"
"S00207,39,Male,High School,Python Basics,489,2,41,44,98,Medium,88,Auditory,3,No"
"S00208,26,Male,Postgraduate,Web Development,463,1,39,20,93,Medium,82,Visual,5,No"
"S00209,41,Male,Postgraduate,Python Basics,422,2,92,31,87,Medium,57,Auditory,4,Yes"
"S00210,46,Male,Undergraduate,Data Science,417,4,97,1,99,Medium,47,Visual,2,No"
"S00211,23,Male,Postgraduate,Data Science,279,3,88,27,70,Medium,90,Visual,2,No"
"S00212,40,Female,Undergraduate,Machine Learning,52,3,40,39,88,Medium,99,Visual,3,No"
"S00213,17,Female,Postgraduate,Cybersecurity,15,1,33,45,97,Medium,62,Visual,3,Yes"
"S00214,37,Male,Undergraduate,Cybersecurity,212,3,43,47,92,Low,66,Kinesthetic,5,No"
"S00215,46,Male,Undergraduate,Python Basics,484,3,86,48,86,High,73,Auditory,4,No"
"S00216,43,Male,High School,Web Development,436,1,30,32,88,Low,38,Visual,1,No"
"S00217,15,Male,Postgraduate,Web Development,455,3,99,41,86,Medium,62,Reading/Writing,3,No"
"S00218,31,Male,Postgraduate,Machine Learning,133,3,92,3,78,High,78,Visual,5,No"
"S00219,17,Male,Postgraduate,Python Basics,305,1,50,3,75,High,64,Kinesthetic,4,No"
"S00220,24,Female,Postgraduate,Machine Learning,124,2,69,11,80,Medium,45,Kinesthetic,3,No"
"S00221,38,Female,High School,Web Development,193,1,31,34,88,Medium,95,Visual,1,No"
"S00222,25,Female,Undergraduate,Data Science,373,3,94,42,42,High,89,Visual,5,Yes"
"S00223,30,Female,Undergraduate,Machine Learning,299,3,81,5,60,Low,80,Kinesthetic,2,No"
"S00224,16,Other,High School,Web Development,322,2,47,46,90,Medium,53,Reading/Writing,1,No"
"S00225,26,Female,Undergraduate,Data Science,153,4,86,26,48,Medium,67,Visual,1,No"
"S00226,22,Female,Postgraduate,Python Basics,486,4,61,38,59,High,40,Visual,5,No"
"S00227,21,Female,High School,Data Science,346,2,91,16,90,Medium,49,Auditory,5,No"
"S00228,24,Female,High School,Machine Learning,336,1,60,31,95,Low,65,Reading/Writing,2,No"
"S00229,22,Male,Undergraduate,Data Science,339,4,58,15,40,Medium,64,Auditory,1,Yes"
"S00230,29,Male,Undergraduate,Machine Learning,146,2,45,9,88,Medium,50,Kinesthetic,4,No"
"S00231,28,Female,Undergraduate,Machine Learning,70,3,97,44,65,Low,50,Auditory,5,Yes"
"S00232,30,Male,Postgraduate,Python Basics,264,3,79,17,97,Medium,64,Visual,5,No"
"S00233,29,Female,Undergraduate,Python Basics,362,3,94,31,43,High,36,Visual,5,Yes"
"S00234,20,Female,Undergraduate,Cybersecurity,118,3,54,42,85,Low,37,Kinesthetic,2,No"
"S00235,40,Female,Undergraduate,Web Development,365,2,84,29,82,High,83,Auditory,3,No"
"S00236,20,Male,Undergraduate,Machine Learning,429,4,58,43,41,Medium,90,Visual,5,No"
"S00237,27,Male,Postgraduate,Cybersecurity,115,1,79,23,61,Medium,98,Kinesthetic,5,No"
"S00238,30,Female,High School,Data Science,149,1,67,8,85,Medium,82,Kinesthetic,4,No"
"S00239,40,Male,High School,Cybersecurity,111,2,84,3,92,High,80,Visual,3,No"
"S00240,23,Female,High School,Cybersecurity,212,2,50,37,50,High,71,Visual,3,No"
"S00241,38,Female,High School,Cybersecurity,373,1,74,2,55,Medium,63,Visual,2,No"
"S00242,33,Female,Postgraduate,Web Development,291,3,32,34,71,Medium,97,Visual,4,No"
"S00243,32,Female,High School,Python Basics,92,2,44,24,80,High,89,Kinesthetic,1,No"
"S00244,24,Female,High School,Web Development,201,2,62,48,41,High,72,Auditory,3,No"
"S00245,38,Male,Undergraduate,Cybersecurity,346,3,30,11,79,High,47,Auditory,2,No"
"S00246,29,Male,Undergraduate,Machine Learning,261,3,90,38,59,High,36,Auditory,3,No"
"S00247,23,Female,Undergraduate,Python Basics,379,2,38,1,97,Medium,37,Auditory,3,No"
"S00248,21,Female,Undergraduate,Machine Learning,264,2,73,7,78,Medium,54,Visual,1,Yes"
"S00249,31,Female,High School,Cybersecurity,427,4,49,14,69,High,56,Reading/Writing,5,Yes"
"S00250,39,Male,Undergraduate,Web Development,372,2,49,46,94,Medium,61,Auditory,5,No"
"S00251,18,Male,Undergraduate,Machine Learning,261,1,39,12,86,High,87,Reading/Writing,2,Yes"
"S00252,22,Female,Undergraduate,Web Development,62,3,59,17,92,High,87,Visual,4,No"
"S00253,16,Male,High School,Data Science,263,4,58,24,78,High,78,Visual,2,No"
"S00254,41,Female,High School,Machine Learning,336,4,47,36,98,High,44,Visual,3,No"
"S00255,18,Male,Undergraduate,Machine Learning,45,3,49,36,55,High,79,Reading/Writing,4,No"
"S00256,46,Male,Undergraduate,Python Basics,438,3,88,22,60,Medium,30,Reading/Writing,2,No"
"S00257,24,Male,Postgraduate,Machine Learning,39,3,32,18,56,Medium,40,Auditory,4,No"
"S00258,26,Female,Undergraduate,Python Basics,336,1,82,19,81,High,50,Kinesthetic,3,No"
"S00259,23,Female,Postgraduate,Python Basics,451,4,68,0,79,Low,76,Visual,1,No"
"S00260,26,Male,High School,Web Development,217,1,62,29,54,Medium,62,Visual,5,No"
"S00261,42,Female,High School,Python Basics,84,1,79,30,51,Medium,45,Auditory,3,No"
"S00262,19,Male,Undergraduate,Data Science,314,2,95,1,60,Low,46,Auditory,4,Yes"
"S00263,46,Male,High School,Web Development,68,2,44,4,50,Medium,59,Auditory,2,Yes"
"S00264,17,Male,Postgraduate,Data Science,131,2,58,1,63,High,45,Kinesthetic,5,No"
"S00265,23,Female,Undergraduate,Cybersecurity,114,2,91,2,85,Medium,62,Visual,5,No"
"S00266,43,Female,Undergraduate,Machine Learning,241,3,71,20,72,Medium,76,Kinesthetic,3,No"
"S00267,24,Female,Undergraduate,Data Science,389,4,67,45,97,Low,53,Visual,2,No"
"S00268,21,Male,Undergraduate,Machine Learning,454,2,85,16,40,Medium,94,Kinesthetic,1,No"
"S00269,37,Male,Undergraduate,Cybersecurity,177,4,63,35,57,Medium,96,Kinesthetic,1,Yes"
"S00270,21,Male,Postgraduate,Python Basics,131,1,68,28,46,Medium,95,Reading/Writing,4,No"
"S00271,29,Female,Undergraduate,Web Development,147,1,44,14,88,High,73,Kinesthetic,5,No"
"S00272,22,Female,Undergraduate,Cybersecurity,425,2,68,4,41,High,91,Reading/Writing,2,No"
"S00273,20,Female,Undergraduate,Web Development,270,4,68,27,53,Low,60,Visual,2,No"
"S00274,17,Male,Postgraduate,Cybersecurity,143,2,41,10,87,Medium,47,Reading/Writing,5,No"
"S00275,44,Male,Undergraduate,Data Science,469,3,69,26,98,Medium,47,Auditory,1,No"
"S00276,21,Female,High School,Data Science,50,3,75,23,87,Medium,84,Kinesthetic,2,Yes"
"S00277,21,Female,Undergraduate,Python Basics,35,2,81,31,66,High,56,Kinesthetic,1,No"
"S00278,16,Male,Undergraduate,Python Basics,91,3,37,37,99,High,56,Visual,1,No"
"S00279,17,Male,Undergraduate,Data Science,179,2,95,31,95,Medium,68,Kinesthetic,2,No"
"S00280,20,Other,High School,Cybersecurity,136,2,37,37,96,Medium,77,Kinesthetic,3,No"
"S00281,23,Female,Undergraduate,Web Development,21,4,44,3,87,Medium,33,Reading/Writing,5,No"
